disease,disease_en,entity,entity_en,entity_type,relation,source_type,source_name,source_id,confidence
Ung thư dạ dày,Stomach cancer,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư dạ dày,Stomach cancer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư đại tràng,Colon cancer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư đại tràng,Colon cancer,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư gan,Liver cancer,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư gan,Liver cancer,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư gan,Liver cancer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư phổi,Lung cancer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư phổi,Lung cancer,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư vú,Breast cancer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư vú,Breast cancer,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư vú,Breast cancer,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư tuyến tiền liệt,Prostate cancer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư tuyến tiền liệt,Prostate cancer,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Ung thư tuyến tiền liệt,Prostate cancer,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Tiểu đường type 1,Type 1 diabetes,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Tiểu đường type 1,Type 1 diabetes,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Tiểu đường type 2,Type 2 diabetes,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Béo phì,Obesity,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Béo phì,Obesity,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Rối loạn lipid máu,Hyperlipidemia,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Rối loạn lipid máu,Hyperlipidemia,Đau ngực,,symptom,has_symptom,synthetic,template_augment,,0.3
Trầm cảm,Depression,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Trầm cảm,Depression,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Rối loạn lo âu,Anxiety disorder,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh Parkinson,Parkinson disease,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh Parkinson,Parkinson disease,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh Alzheimer,Alzheimer disease,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh Alzheimer,Alzheimer disease,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Động kinh,Epilepsy,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Đau nửa đầu,Migraine,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm kết mạc,Conjunctivitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm kết mạc,Conjunctivitis,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Đục thủy tinh thể,Cataract,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Đục thủy tinh thể,Cataract,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Tăng nhãn áp,Glaucoma,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Tăng nhãn áp,Glaucoma,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Tăng huyết áp,Hypertension,Đau ngực,,symptom,has_symptom,synthetic,template_augment,,0.3
Đau thắt ngực,Angina pectoris,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Đau thắt ngực,Angina pectoris,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Nhồi máu cơ tim,Myocardial infarction,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Nhồi máu cơ tim,Myocardial infarction,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Nhồi máu cơ tim,Myocardial infarction,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Suy tim,Heart failure,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Suy tim,Heart failure,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Suy tim,Heart failure,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Đột quỵ não,Stroke,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Đột quỵ não,Stroke,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Đột quỵ não,Stroke,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh trĩ,Hemorrhoids,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh trĩ,Hemorrhoids,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Cảm lạnh thông thường,Common cold,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm họng,Pharyngitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm họng,Pharyngitis,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm họng,Pharyngitis,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm amidan,Tonsillitis,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm amidan,Tonsillitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm đường hô hấp trên,Upper respiratory infection,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm đường hô hấp trên,Upper respiratory infection,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Cúm,Influenza,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Cúm,Influenza,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Cúm,Influenza,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm phổi,Pneumonia,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm phổi,Pneumonia,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm phổi,Pneumonia,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm phế quản cấp,Acute bronchitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm phế quản cấp,Acute bronchitis,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm phế quản cấp,Acute bronchitis,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh phổi tắc nghẽn mãn tính,COPD,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Hen suyễn,Asthma,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Hen suyễn,Asthma,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Hen suyễn,Asthma,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Trào ngược dạ dày thực quản,GERD,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Trào ngược dạ dày thực quản,GERD,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Trào ngược dạ dày thực quản,GERD,Đau ngực,,symptom,has_symptom,synthetic,template_augment,,0.3
Loét dạ dày,Gastric ulcer,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Loét dạ dày,Gastric ulcer,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm dạ dày,Gastritis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm dạ dày,Gastritis,Đau lưng,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm ruột thừa,Appendicitis,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm ruột thừa,Appendicitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Hội chứng ruột kích thích,IBS,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Hội chứng ruột kích thích,IBS,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Xơ gan,Cirrhosis,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Sỏi mật,Gallstones,Đau ngực,,symptom,has_symptom,synthetic,template_augment,,0.3
Sỏi mật,Gallstones,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Sỏi mật,Gallstones,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm da cơ địa,Atopic dermatitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm da cơ địa,Atopic dermatitis,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Vẩy nến,Psoriasis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Vẩy nến,Psoriasis,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Vẩy nến,Psoriasis,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Mề đay,Urticaria,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Mề đay,Urticaria,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Mụn trứng cá,Acne,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Mụn trứng cá,Acne,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Mụn trứng cá,Acne,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm khớp dạng thấp,Rheumatoid arthritis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh gout,Gout,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh gout,Gout,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Thoái hóa khớp gối,Knee osteoarthritis,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Thoát vị đĩa đệm,Disc herniation,Đau khớp,,symptom,has_symptom,synthetic,template_augment,,0.3
Đau lưng,Back pain,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Loãng xương,Osteoporosis,Đau đầu,,symptom,has_symptom,synthetic,template_augment,,0.3
Loãng xương,Osteoporosis,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Loãng xương,Osteoporosis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh thận mãn,Chronic kidney disease,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Bệnh thận mãn,Chronic kidney disease,Đau họng,,symptom,has_symptom,synthetic,template_augment,,0.3
Sỏi thận,Kidney stones,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Sỏi thận,Kidney stones,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm bàng quang,Cystitis,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
Viêm bàng quang,Cystitis,Lo âu,,symptom,has_symptom,synthetic,template_augment,,0.3
Phì đại tuyến tiền liệt,BPH,Trầm cảm,,symptom,has_symptom,synthetic,template_augment,,0.3
Phì đại tuyến tiền liệt,BPH,Ho,,symptom,has_symptom,synthetic,template_augment,,0.3
